NRO,sukunimi,etunimet,henkilötunnus,tdk (random),osoite,postitoimipaikka,sähköposti,ehdokasnimi,rengas,vaaliliiton järjestys,liitto,ehdokasjärjestys
446,Nurmikari,Maria Helena Elisabeth,,B,Testiosoite 445,10444 Helsinki,etunimi.sukunimi.444@example.com,"Nurmikari, Helena",Osakunnat,1,ESO,21
447,Ora,Inka Elina,,T,Testiosoite 446,10445 Helsinki,etunimi.sukunimi.445@example.com,"Ora, Inka",Osakunnat,1,ESO,22
448,Stolt,Jani Petteri,,L,Testiosoite 447,10446 Helsinki,etunimi.sukunimi.446@example.com,"Stolt, Jani",Osakunnat,1,ESO,23
449,Nyman,Jere Fred Olavi,,MM,Testiosoite 448,10447 Helsinki,etunimi.sukunimi.447@example.com,"Nyman, Jere",Osakunnat,1,ESO,24
450,Kangas,Jertta Maarit,,K,Testiosoite 449,10448 Helsinki,etunimi.sukunimi.448@example.com,"Kangas, Jertta",Osakunnat,1,ESO,25
451,Riitakorpi,Johanna Maria Elisabeth,,E,Testiosoite 450,10449 Helsinki,etunimi.sukunimi.449@example.com,"Riitakorpi, Johanna",Osakunnat,1,ESO,26
452,Sihvonen,Juha Erik Michael,,H,Testiosoite 451,10450 Helsinki,etunimi.sukunimi.450@example.com,"Sihvonen, Juha",Osakunnat,1,ESO,27
453,Tiainen,Sanna Kaisa,,ML,Testiosoite 452,10451 Helsinki,etunimi.sukunimi.451@example.com,"Tiainen, Kaisa",Osakunnat,1,ESO,28
454,Ignatius,Karoliina Ida Aleksandra,,V,Testiosoite 453,10452 Helsinki,etunimi.sukunimi.452@example.com,"Ignatius, Karoliina",Osakunnat,1,ESO,29
455,Rapala,Katariina Sini-Tuulia,,O,Testiosoite 454,10453 Helsinki,etunimi.sukunimi.453@example.com,"Rapala, Katariina",Osakunnat,1,ESO,30
456,Joensuu,Katri-Mari Sofia,,B,Testiosoite 455,10454 Helsinki,etunimi.sukunimi.454@example.com,"Joensuu, Katri",Osakunnat,1,ESO,31
457,Tolkki,Katri Johanna,,T,Testiosoite 456,10455 Helsinki,etunimi.sukunimi.455@example.com,"Tolkki, Katri",Osakunnat,1,ESO,32
458,Ruuska,Anna Kerttu,,L,Testiosoite 457,10456 Helsinki,etunimi.sukunimi.456@example.com,"Ruuska, Kerttu",Osakunnat,1,ESO,33
459,Iltala,Laura Elina,,MM,Testiosoite 458,10457 Helsinki,etunimi.sukunimi.457@example.com,"Iltala, Laura",Osakunnat,1,ESO,34
460,Penttilä,Pia Laura Anneli,,K,Testiosoite 459,10458 Helsinki,etunimi.sukunimi.458@example.com,"Penttilä, Laura",Osakunnat,1,ESO,35
461,Hurme,Lauramaija Helena,,E,Testiosoite 460,10459 Helsinki,etunimi.sukunimi.459@example.com,"Hurme, Lauramaija 'Lauris'",Osakunnat,1,ESO,36
462,Saviranta,Lauri Aleksi,,H,Testiosoite 461,10460 Helsinki,etunimi.sukunimi.460@example.com,"Saviranta, Lauri",Osakunnat,1,ESO,37
463,Airosmaa,Maiju Annika,,ML,Testiosoite 462,10461 Helsinki,etunimi.sukunimi.461@example.com,"Airosmaa, Maiju",Osakunnat,1,ESO,38
464,Laaksonen,Maiju Tuulia,,V,Testiosoite 463,10462 Helsinki,etunimi.sukunimi.462@example.com,"Laaksonen, Maiju",Osakunnat,1,ESO,39
465,Myllymäki,Meri Jenny Emilia,,O,Testiosoite 464,10463 Helsinki,etunimi.sukunimi.463@example.com,"Myllymäki, Meri",Osakunnat,1,ESO,40
466,Kosloff,Mikael Aleksanteri,,B,Testiosoite 465,10464 Helsinki,etunimi.sukunimi.464@example.com,"Kosloff, Mikael",Osakunnat,1,ESO,41
467,Laakso,Mikko Johannes,,T,Testiosoite 466,10465 Helsinki,etunimi.sukunimi.465@example.com,"Laakso, Mikko",Osakunnat,1,ESO,42
468,Komulainen,Mirja valpuri,,L,Testiosoite 467,10466 Helsinki,etunimi.sukunimi.466@example.com,"Komulainen, Mirja",Osakunnat,1,ESO,43
469,Ojala,Pauliina Elina,,MM,Testiosoite 468,10467 Helsinki,etunimi.sukunimi.467@example.com,"Ojala, Pauliina",Osakunnat,1,ESO,44
470,Heikkonen,Petri-Tapio,,K,Testiosoite 469,10468 Helsinki,etunimi.sukunimi.468@example.com,"Heikkonen, Petri-Tapio",Osakunnat,1,ESO,45
471,Paalasmaa,Salla Aino,,E,Testiosoite 470,10469 Helsinki,etunimi.sukunimi.469@example.com,"Paalasmaa, Salla",Osakunnat,1,ESO,46
472,Latva-Äijö,Salla-Maaria,,H,Testiosoite 471,10470 Helsinki,etunimi.sukunimi.470@example.com,"Latva-Äijö, Salla",Osakunnat,1,ESO,47
473,Varjonen,Sampo Mikael,,ML,Testiosoite 472,10471 Helsinki,etunimi.sukunimi.471@example.com,"Varjonen, Sampo",Osakunnat,1,ESO,48
474,Vainikka,Satu Elina,,V,Testiosoite 473,10472 Helsinki,etunimi.sukunimi.472@example.com,"Vainikka, Satu",Osakunnat,1,ESO,49
475,Nousiainen,Silja Johanna,,O,Testiosoite 474,10473 Helsinki,etunimi.sukunimi.473@example.com,"Nousiainen, Silja",Osakunnat,1,ESO,50
476,Mäkinen,Simo Valtteri,,B,Testiosoite 475,10474 Helsinki,etunimi.sukunimi.474@example.com,"Mäkinen, Simo",Osakunnat,1,ESO,51
477,Kuuluvainen,Soila Maria,,T,Testiosoite 476,10475 Helsinki,etunimi.sukunimi.475@example.com,"Kuuluvainen, Soila",Osakunnat,1,ESO,52
478,Paikkala,Terhi Rauna Maarit,,L,Testiosoite 477,10476 Helsinki,etunimi.sukunimi.476@example.com,"Paikkala, Terhi",Osakunnat,1,ESO,53
479,Mörsky,Tiia-Tuulia Marianne,,MM,Testiosoite 478,10477 Helsinki,etunimi.sukunimi.477@example.com,"Mörsky, Tiia",Osakunnat,1,ESO,54
480,Söderholm,Tiina Henriikka Aleksandra,,K,Testiosoite 479,10478 Helsinki,etunimi.sukunimi.478@example.com,"Söderholm, Tiina",Osakunnat,1,ESO,55
481,Rask,Tobias Matias,,E,Testiosoite 480,10479 Helsinki,etunimi.sukunimi.479@example.com,"Rask, Tobias",Osakunnat,1,ESO,56
482,Hänninen,Ulrika Anna Maria,,H,Testiosoite 481,10480 Helsinki,etunimi.sukunimi.480@example.com,"Hänninen, Ulrika",Osakunnat,1,ESO,57
483,Ryynänen,Veera Vilhelmiina,,ML,Testiosoite 482,10481 Helsinki,etunimi.sukunimi.481@example.com,"Ryynänen, Veera",Osakunnat,1,ESO,58
484,Jarmala,Veikko Johannes,,V,Testiosoite 483,10482 Helsinki,etunimi.sukunimi.482@example.com,"Jarmala, Veikko",Osakunnat,1,ESO,59
485,Kajanti,Vilja Inga Wilhelmiina,,O,Testiosoite 484,10483 Helsinki,etunimi.sukunimi.483@example.com,"Kajanti, Vilja",Osakunnat,1,ESO,60
486,Virtanen,Anna Martta Elina,,B,Testiosoite 485,10484 Helsinki,etunimi.sukunimi.484@example.com,"Virtanen, Anna",Osakunnat,2,SavO,1
487,Oittinen,Annamari Johanna,,T,Testiosoite 486,10485 Helsinki,etunimi.sukunimi.485@example.com,"Oittinen, Annamari",Osakunnat,2,SavO,2
488,Holopainen,Anne Dora,,L,Testiosoite 487,10486 Helsinki,etunimi.sukunimi.486@example.com,"Holopainen, Anne",Osakunnat,2,SavO,3
489,Hirsaho,Anni Tuulikki,,MM,Testiosoite 488,10487 Helsinki,etunimi.sukunimi.487@example.com,"Hirsaho, Anni",Osakunnat,2,SavO,4
490,Kirkkala,Antti Juhani,,K,Testiosoite 489,10488 Helsinki,etunimi.sukunimi.488@example.com,"Kirkkala, Antti",Osakunnat,2,SavO,5
491,Vauhkonen,Antti Tapani,,E,Testiosoite 490,10489 Helsinki,etunimi.sukunimi.489@example.com,"Vauhkonen, Antti",Osakunnat,2,SavO,6
492,Huttunen,Ari Jussi,,H,Testiosoite 491,10490 Helsinki,etunimi.sukunimi.490@example.com,"Huttunen, Ari 'Addu'",Osakunnat,2,SavO,7
493,Sihvola,Emma Valpuri,,ML,Testiosoite 492,10491 Helsinki,etunimi.sukunimi.491@example.com,"Sihvola, Emma",Osakunnat,2,SavO,8
494,Nevalainen,Emmi Noora,,V,Testiosoite 493,10492 Helsinki,etunimi.sukunimi.492@example.com,"Nevalainen, Emmi",Osakunnat,2,SavO,9
495,Juutinen,Esko Heikki Johannes,,O,Testiosoite 494,10493 Helsinki,etunimi.sukunimi.493@example.com,"Juutinen, Esko",Osakunnat,2,SavO,10
496,Remonen,Iina Tuulikki,,B,Testiosoite 495,10494 Helsinki,etunimi.sukunimi.494@example.com,"Remonen, Iina",Osakunnat,2,SavO,11
497,Holopainen,Jani Hans,,T,Testiosoite 496,10495 Helsinki,etunimi.sukunimi.495@example.com,"Holopainen, Jani",Osakunnat,2,SavO,12
498,Oinonen,Jukka Antero,,L,Testiosoite 497,10496 Helsinki,etunimi.sukunimi.496@example.com,"Oinonen, Jukka",Osakunnat,2,SavO,13
499,Pakarinen,Jukka Antero,,MM,Testiosoite 498,10497 Helsinki,etunimi.sukunimi.497@example.com,"Pakarinen, Jukka 'Rasti'",Osakunnat,2,SavO,14
500,Gustafsson,Jussi Petteri,,K,Testiosoite 499,10498 Helsinki,etunimi.sukunimi.498@example.com,"Gustafsson, Jussi",Osakunnat,2,SavO,15
501,Kastarinen,Katja Pauliina,,E,Testiosoite 500,10499 Helsinki,etunimi.sukunimi.499@example.com,"Kastarinen, Katja",Osakunnat,2,SavO,16
502,Kalliomäki,Katriina Elina,,H,Testiosoite 501,10500 Helsinki,etunimi.sukunimi.500@example.com,"Kalliomäki, Katriina",Osakunnat,2,SavO,17
503,Kainulainen,Laura Alina,,ML,Testiosoite 502,10501 Helsinki,etunimi.sukunimi.501@example.com,"Kainulainen, Laura",Osakunnat,2,SavO,18
504,Korhonen,Laura Maria,,V,Testiosoite 503,10502 Helsinki,etunimi.sukunimi.502@example.com,"Korhonen, Laura",Osakunnat,2,SavO,19
505,Auvinen,Lauri Mika Petteri,,O,Testiosoite 504,10503 Helsinki,etunimi.sukunimi.503@example.com,"Auvinen, Lauri",Osakunnat,2,SavO,20
506,Niva,Lotta Eveliina,,B,Testiosoite 505,10504 Helsinki,etunimi.sukunimi.504@example.com,"Niva, Lotta",Osakunnat,2,SavO,21
507,Haka,Maija Erika,,T,Testiosoite 506,10505 Helsinki,etunimi.sukunimi.505@example.com,"Haka, Maija",Osakunnat,2,SavO,22
508,Väre,Maija Tuuli,,L,Testiosoite 507,10506 Helsinki,etunimi.sukunimi.506@example.com,"Väre, Maija",Osakunnat,2,SavO,23
509,Häkkinen,Margareeta Anna Emilia,,MM,Testiosoite 508,10507 Helsinki,etunimi.sukunimi.507@example.com,"Häkkinen, Margareeta",Osakunnat,2,SavO,24
510,Miettinen,Markus Juhani,,K,Testiosoite 509,10508 Helsinki,etunimi.sukunimi.508@example.com,"Miettinen, Markus",Osakunnat,2,SavO,25
511,Pitkänen,Mikko Riku Aleksi,,E,Testiosoite 510,10509 Helsinki,etunimi.sukunimi.509@example.com,"Pitkänen, Mikko",Osakunnat,2,SavO,26
512,Lindfors,Minna Helena,,H,Testiosoite 511,10510 Helsinki,etunimi.sukunimi.510@example.com,"Lindfors, Minna",Osakunnat,2,SavO,27
513,Virtanen,Otto Lauri Johannes,,ML,Testiosoite 512,10511 Helsinki,etunimi.sukunimi.511@example.com,"Virtanen, Otto",Osakunnat,2,SavO,28
514,Temmes,Outi Kaarina,,V,Testiosoite 513,10512 Helsinki,etunimi.sukunimi.512@example.com,"Temmes, Outi",Osakunnat,2,SavO,29
515,Alapeteri,Pia Pauliina,,O,Testiosoite 514,10513 Helsinki,etunimi.sukunimi.513@example.com,"Alapeteri, Pia",Osakunnat,2,SavO,30
516,Kettunen,Pyry Juhani,,B,Testiosoite 515,10514 Helsinki,etunimi.sukunimi.514@example.com,"Kettunen, Pyry",Osakunnat,2,SavO,31
517,Ruuth,Riikka Maaret,,T,Testiosoite 516,10515 Helsinki,etunimi.sukunimi.515@example.com,"Ruuth, Riikka",Osakunnat,2,SavO,32
518,Arola,Saara Eliisa,,L,Testiosoite 517,10516 Helsinki,etunimi.sukunimi.516@example.com,"Arola, Saara",Osakunnat,2,SavO,33
519,Pennanen,Saila Pauliina,,MM,Testiosoite 518,10517 Helsinki,etunimi.sukunimi.517@example.com,"Pennanen, Saila",Osakunnat,2,SavO,34
520,Juutinen,Sara Henriikka,,K,Testiosoite 519,10518 Helsinki,etunimi.sukunimi.518@example.com,"Juutinen, Sara",Osakunnat,2,SavO,35
521,Ulmanen,Sini Maarit,,E,Testiosoite 520,10519 Helsinki,etunimi.sukunimi.519@example.com,"Ulmanen, Sini",Osakunnat,2,SavO,36
522,Jentze,Linnea Suvi Tuulia,,H,Testiosoite 521,10520 Helsinki,etunimi.sukunimi.520@example.com,"Jentze, Suvi",Osakunnat,2,SavO,37
523,Laatikainen,Tanja Onerva,,ML,Testiosoite 522,10521 Helsinki,etunimi.sukunimi.521@example.com,"Laatikainen, Tanja",Osakunnat,2,SavO,38
524,Valkonen,Tatu Petteri,,V,Testiosoite 523,10522 Helsinki,etunimi.sukunimi.522@example.com,"Valkonen, Tatu",Osakunnat,2,SavO,39
525,Tuovinen,Veera Eveliina,,O,Testiosoite 524,10523 Helsinki,etunimi.sukunimi.523@example.com,"Tuovinen, Veera",Osakunnat,2,SavO,40
526,Meriläinen,Ville Sakari,,B,Testiosoite 525,10524 Helsinki,etunimi.sukunimi.524@example.com,"Meriläinen, Ville 'Piispa'",Osakunnat,2,SavO,41
527,Pulkkinen,Ville Petteri,,T,Testiosoite 526,10525 Helsinki,etunimi.sukunimi.525@example.com,"Pulkkinen, Ville",Osakunnat,2,SavO,42
528,Peltonen,Aku Petteri,,L,Testiosoite 527,10526 Helsinki,etunimi.sukunimi.526@example.com,"Peltonen, Aku 'AQ'",Osakunnat,3,HO-Natura,1
529,Valjakka,Anna Kristiina,,MM,Testiosoite 528,10527 Helsinki,etunimi.sukunimi.527@example.com,"Valjakka, Anna",Osakunnat,3,HO-Natura,2
530,Zitting,Anna Maija,,K,Testiosoite 529,10528 Helsinki,etunimi.sukunimi.528@example.com,"Zitting, Anna",Osakunnat,3,HO-Natura,3
531,Hämäläinen,Anu-Mari,,E,Testiosoite 530,10529 Helsinki,etunimi.sukunimi.529@example.com,"Hämäläinen, Anu-Mari",Osakunnat,3,HO-Natura,4
532,Koivu,Arto Petteri,,H,Testiosoite 531,10530 Helsinki,etunimi.sukunimi.530@example.com,"Koivu, Arto",Osakunnat,3,HO-Natura,5
533,Tuomela,Erkka Eevert,,ML,Testiosoite 532,10531 Helsinki,etunimi.sukunimi.531@example.com,"Tuomela, Erkka",Osakunnat,3,HO-Natura,6
534,Kanerva,Heimo Sakari,,V,Testiosoite 533,10532 Helsinki,etunimi.sukunimi.532@example.com,"Kanerva, Heimo",Osakunnat,3,HO-Natura,8
535,Mattila,Henriikka Johanna Kaarina,,O,Testiosoite 534,10533 Helsinki,etunimi.sukunimi.533@example.com,"Mattila, Henriikka",Osakunnat,3,HO-Natura,9
536,Tynkkynen,Ilkka Santeri,,B,Testiosoite 535,10534 Helsinki,etunimi.sukunimi.534@example.com,"Tynkkynen, Ilkka",Osakunnat,3,HO-Natura,10
537,Ollikainen,Jani Marko Tapani,,T,Testiosoite 536,10535 Helsinki,etunimi.sukunimi.535@example.com,"Ollikainen, Jani 'bestis'",Osakunnat,3,HO-Natura,11
538,Hyytiäinen,Janne Sakari,,L,Testiosoite 537,10536 Helsinki,etunimi.sukunimi.536@example.com,"Hyytiäinen, Janne",Osakunnat,3,HO-Natura,12
539,Hyvönen,Jarna Elena,,MM,Testiosoite 538,10537 Helsinki,etunimi.sukunimi.537@example.com,"Hyvönen, Jarna",Osakunnat,3,HO-Natura,13
540,Mokka,Jenna Emilia,,K,Testiosoite 539,10538 Helsinki,etunimi.sukunimi.538@example.com,"Mokka, Jenna",Osakunnat,3,HO-Natura,14
541,Luolaja,Jenni Pauliina,,E,Testiosoite 540,10539 Helsinki,etunimi.sukunimi.539@example.com,"Luolaja, Jenni",Osakunnat,3,HO-Natura,15
542,Koponen,Juha Henrik,,H,Testiosoite 541,10540 Helsinki,etunimi.sukunimi.540@example.com,"Koponen, Juha",Osakunnat,3,HO-Natura,16
543,Heliö,Jukka Tuomas,,ML,Testiosoite 542,10541 Helsinki,etunimi.sukunimi.541@example.com,"Heliö, Jukka",Osakunnat,3,HO-Natura,17
544,Lehtinen,Juuso Jalmari,,V,Testiosoite 543,10542 Helsinki,etunimi.sukunimi.542@example.com,"Lehtinen, Juuso",Osakunnat,3,HO-Natura,18
545,Eriksson,Jyrki Olavi,,O,Testiosoite 544,10543 Helsinki,etunimi.sukunimi.543@example.com,"Eriksson, Jyrki",Osakunnat,3,HO-Natura,19
546,Holmström,Jenny Karoliina,,B,Testiosoite 545,10544 Helsinki,etunimi.sukunimi.544@example.com,"Holmström, Karoliina",Osakunnat,3,HO-Natura,20
547,Ervasti,Kim Mikael,,T,Testiosoite 546,10545 Helsinki,etunimi.sukunimi.545@example.com,"Ervasti, Kim",Osakunnat,3,HO-Natura,21
548,Lähteenmäki,Liisa Katriina,,L,Testiosoite 547,10546 Helsinki,etunimi.sukunimi.546@example.com,"Lähteenmäki, Liisa",Osakunnat,3,HO-Natura,22
549,Kostamo,Maarit Hannele,,MM,Testiosoite 548,10547 Helsinki,etunimi.sukunimi.547@example.com,"Kostamo, Maarit",Osakunnat,3,HO-Natura,23
550,Korpinen,Markus Nikolaus,,K,Testiosoite 549,10548 Helsinki,etunimi.sukunimi.548@example.com,"Korpinen, Markus",Osakunnat,3,HO-Natura,24
551,Nieminen,Martti Johannes,,E,Testiosoite 550,10549 Helsinki,etunimi.sukunimi.549@example.com,"Nieminen, Martti",Osakunnat,3,HO-Natura,25
552,Sergejeff,Mikko Petteri,,H,Testiosoite 551,10550 Helsinki,etunimi.sukunimi.550@example.com,"Sergejeff, Mikko",Osakunnat,3,HO-Natura,26
553,Varje,Pekka Sakari,,ML,Testiosoite 552,10551 Helsinki,etunimi.sukunimi.551@example.com,"Varje, Pekka",Osakunnat,3,HO-Natura,27
554,Lähteenkorva,Riku Petteri,,V,Testiosoite 553,10552 Helsinki,etunimi.sukunimi.552@example.com,"Lähteenkorva, Riku",Osakunnat,3,HO-Natura,28
555,Lähteenmäki,Lauri Sakari,,O,Testiosoite 554,10553 Helsinki,etunimi.sukunimi.553@example.com,"Lähteenmäki, Sakari",Osakunnat,3,HO-Natura,29
556,Vuorinen,Samu Henrik Aleksei,,B,Testiosoite 555,10554 Helsinki,etunimi.sukunimi.554@example.com,"Vuorinen, Samu",Osakunnat,3,HO-Natura,30
557,Vekkeli,Santtu Esa Tapio,,T,Testiosoite 556,10555 Helsinki,etunimi.sukunimi.555@example.com,"Vekkeli, Santtu",Osakunnat,3,HO-Natura,31
558,Hatakka,Risto Tapio,,L,Testiosoite 557,10556 Helsinki,etunimi.sukunimi.556@example.com,"Hatakka, Tapio",Osakunnat,3,HO-Natura,32
559,Laakso,Teemu Oskari,,MM,Testiosoite 558,10557 Helsinki,etunimi.sukunimi.557@example.com,"Laakso, Teemu",Osakunnat,3,HO-Natura,33
560,Gebhard,Teo Henrik,,K,Testiosoite 559,10558 Helsinki,etunimi.sukunimi.558@example.com,"Gebhard, Teo",Osakunnat,3,HO-Natura,34
561,Saarela,Tuomas Jukka,,E,Testiosoite 560,10559 Helsinki,etunimi.sukunimi.559@example.com,"Saarela, Tuomas",Osakunnat,3,HO-Natura,35
562,Lehto,Veera Elina,,H,Testiosoite 561,10560 Helsinki,etunimi.sukunimi.560@example.com,"Lehto, Veera",Osakunnat,3,HO-Natura,36
563,Lähteenmäki,Veikko Juhani,,ML,Testiosoite 562,10561 Helsinki,etunimi.sukunimi.561@example.com,"Lähteenmäki, Veikko",Osakunnat,3,HO-Natura,37
564,Lehtinen,Viljo Pietari,,V,Testiosoite 563,10562 Helsinki,etunimi.sukunimi.562@example.com,"Lehtinen, Viljo",Osakunnat,3,HO-Natura,38
565,Lappalainen,Ville Sakari,,O,Testiosoite 564,10563 Helsinki,etunimi.sukunimi.563@example.com,"Lappalainen, Ville",Osakunnat,3,HO-Natura,39
566,Punkari,Milla Maria,,B,Testiosoite 565,10564 Helsinki,etunimi.sukunimi.564@example.com,"Punkari, Milla",Osakunnat,3,HO-Natura,40
567,Mäkelä,Albert Lauri Kristian,,T,Testiosoite 566,10565 Helsinki,etunimi.sukunimi.565@example.com,"Mäkelä, Albert",Osakunnat,4,KSO-VSO,1
568,Huuskonen,Anna Katariina,,L,Testiosoite 567,10566 Helsinki,etunimi.sukunimi.566@example.com,"Huuskonen, Anna",Osakunnat,4,KSO-VSO,2
569,Kosonen,Anna Emilia,,MM,Testiosoite 568,10567 Helsinki,etunimi.sukunimi.567@example.com,"Kosonen, Anna",Osakunnat,4,KSO-VSO,3
570,Piesala,Ukko Väinö Eemeli,,K,Testiosoite 569,10568 Helsinki,etunimi.sukunimi.568@example.com,"Piesala, Eemeli",Osakunnat,4,KSO-VSO,4
571,Pylsy,Elina Maria,,E,Testiosoite 570,10569 Helsinki,etunimi.sukunimi.569@example.com,"Pylsy, Elina",Osakunnat,4,KSO-VSO,5
572,Rintala,Essi Kristiina,,H,Testiosoite 571,10570 Helsinki,etunimi.sukunimi.570@example.com,"Rintala, Essi",Osakunnat,4,KSO-VSO,6
573,Mäkelä,Hanna-Maria Helena,,ML,Testiosoite 572,10571 Helsinki,etunimi.sukunimi.571@example.com,"Mäkelä, Hanna-Maria",Osakunnat,4,KSO-VSO,7
574,Jurvanen,Juha-Pekka Olavi,,V,Testiosoite 573,10572 Helsinki,etunimi.sukunimi.572@example.com,"Jurvanen, Juha-Pekka",Osakunnat,4,KSO-VSO,8
575,Leppänen,Maija Helena,,O,Testiosoite 574,10573 Helsinki,etunimi.sukunimi.573@example.com,"Leppänen, Maija",Osakunnat,4,KSO-VSO,9
576,Eskelinen,Marja Eeva-Riitta,,B,Testiosoite 575,10574 Helsinki,etunimi.sukunimi.574@example.com,"Eskelinen, Marja",Osakunnat,4,KSO-VSO,10
577,Kosonen,Suvi Matleena,,T,Testiosoite 576,10575 Helsinki,etunimi.sukunimi.575@example.com,"Kosonen, Matleena",Osakunnat,4,KSO-VSO,11
578,Kaijaluoto,Otso Veikko,,L,Testiosoite 577,10576 Helsinki,etunimi.sukunimi.576@example.com,"Kaijaluoto, Otso",Osakunnat,4,KSO-VSO,12
579,Vogt,Sara Tuuli Marjatta,,MM,Testiosoite 578,10577 Helsinki,etunimi.sukunimi.577@example.com,"Vogt, Sara",Osakunnat,4,KSO-VSO,13
580,Oinas,Varpu Eliisa,,K,Testiosoite 579,10578 Helsinki,etunimi.sukunimi.578@example.com,"Oinas, Varpu",Osakunnat,4,KSO-VSO,14
581,Kuusela,Heidi Marja,,E,Testiosoite 580,10579 Helsinki,etunimi.sukunimi.579@example.com,"Kuusela, Heidi",Osakunnat,4,KSO-VSO,15
582,Korhonen,Henri Mikael,,H,Testiosoite 581,10580 Helsinki,etunimi.sukunimi.580@example.com,"Korhonen, Henri",Osakunnat,4,KSO-VSO,16
583,Ahola,Ilari Tapani,,ML,Testiosoite 582,10581 Helsinki,etunimi.sukunimi.581@example.com,"Ahola, Ilari",Osakunnat,4,KSO-VSO,17
584,Mäkinen,Jenna Henriikka,,V,Testiosoite 583,10582 Helsinki,etunimi.sukunimi.582@example.com,"Mäkinen, Jenna",Osakunnat,4,KSO-VSO,18
585,Niittynen,Lauri Olavi,,O,Testiosoite 584,10583 Helsinki,etunimi.sukunimi.583@example.com,"Niittynen, Lauri",Osakunnat,4,KSO-VSO,19
586,Lähteenaho,Liisa-Maija,,B,Testiosoite 585,10584 Helsinki,etunimi.sukunimi.584@example.com,"Lähteenaho, Liisa",Osakunnat,4,KSO-VSO,20
587,Varjo,Hennariikka Mariaana,,T,Testiosoite 586,10585 Helsinki,etunimi.sukunimi.585@example.com,"Varjo, Hennariikka 'Masa'",Osakunnat,4,KSO-VSO,21
588,Lehto,Matti Juha Henrik,,L,Testiosoite 587,10586 Helsinki,etunimi.sukunimi.586@example.com,"Lehto, Matti",Osakunnat,4,KSO-VSO,22
589,Hirvonen,Mikko Sakari,,MM,Testiosoite 588,10587 Helsinki,etunimi.sukunimi.587@example.com,"Hirvonen, Mikko 'Apsu'",Osakunnat,4,KSO-VSO,23
590,Tuominen,Niko Petteri,,K,Testiosoite 589,10588 Helsinki,etunimi.sukunimi.588@example.com,"Tuominen, Niko",Osakunnat,4,KSO-VSO,24
591,Hamberg,Ninni Maria Katariina,,E,Testiosoite 590,10589 Helsinki,etunimi.sukunimi.589@example.com,"Hamberg, Ninni",Osakunnat,4,KSO-VSO,25
592,Nokso-Koivisto,Eero Oskari,,H,Testiosoite 591,10590 Helsinki,etunimi.sukunimi.590@example.com,"Nokso-Koivisto, Oskari",Osakunnat,4,KSO-VSO,26
593,Simelius,Satu Marianna,,ML,Testiosoite 592,10591 Helsinki,etunimi.sukunimi.591@example.com,"Simelius, Satu",Osakunnat,4,KSO-VSO,27
594,Halme,Teemu Antero,,V,Testiosoite 593,10592 Helsinki,etunimi.sukunimi.592@example.com,"Halme, Teemu",Osakunnat,4,KSO-VSO,28
595,Mäkinen,Tero Tapani,,O,Testiosoite 594,10593 Helsinki,etunimi.sukunimi.593@example.com,"Mäkinen, Tero",Osakunnat,4,KSO-VSO,29
596,Torkki,Anna Katariina,,B,Testiosoite 595,10594 Helsinki,etunimi.sukunimi.594@example.com,"Torkki, Anna",Osakunnat,5,SatO-ESO2,1
597,Ritala,Anni Maria,,T,Testiosoite 596,10595 Helsinki,etunimi.sukunimi.595@example.com,"Ritala, Anni",Osakunnat,5,SatO-ESO2,2
598,Lehtikangas,Annukka Katariina Emilia,,L,Testiosoite 597,10596 Helsinki,etunimi.sukunimi.596@example.com,"Lehtikangas, Annukka",Osakunnat,5,SatO-ESO2,3
599,Saarenmaa,Antto Sakari,,MM,Testiosoite 598,10597 Helsinki,etunimi.sukunimi.597@example.com,"Saarenmaa, Antto",Osakunnat,5,SatO-ESO2,4
600,Välimäki,Anu Jutta Hannele,,K,Testiosoite 599,10598 Helsinki,etunimi.sukunimi.598@example.com,"Välimäki, Anu",Osakunnat,5,SatO-ESO2,5
601,Lepistö,Emmi Loviisa,,E,Testiosoite 600,10599 Helsinki,etunimi.sukunimi.599@example.com,"Lepistö, Emmi",Osakunnat,5,SatO-ESO2,6
602,Norri,Essi Erene Annika,,H,Testiosoite 601,10600 Helsinki,etunimi.sukunimi.600@example.com,"Norri, Essi",Osakunnat,5,SatO-ESO2,7
603,Hannus,Hanna Sofia,,ML,Testiosoite 602,10601 Helsinki,etunimi.sukunimi.601@example.com,"Hannus, Hanna",Osakunnat,5,SatO-ESO2,8
604,Lehti,Hanna-Kaisa Kristiina,,V,Testiosoite 603,10602 Helsinki,etunimi.sukunimi.602@example.com,"Lehti, Hanna-Kaisa",Osakunnat,5,SatO-ESO2,9
605,Hyyti,Heikki Sakari,,O,Testiosoite 604,10603 Helsinki,etunimi.sukunimi.603@example.com,"Hyyti, Heikki",Osakunnat,5,SatO-ESO2,10
606,Holopainen,Henri Iiro Eemeli,,B,Testiosoite 605,10604 Helsinki,etunimi.sukunimi.604@example.com,"Holopainen, Henri",Osakunnat,5,SatO-ESO2,11
607,Kärrylä,Ilkka Aleksi,,T,Testiosoite 606,10605 Helsinki,etunimi.sukunimi.605@example.com,"Kärrylä, Ilkka",Osakunnat,5,SatO-ESO2,12
608,Liinaharja,Eriika Inkeri,,L,Testiosoite 607,10606 Helsinki,etunimi.sukunimi.606@example.com,"Liinaharja, Inkeri",Osakunnat,5,SatO-ESO2,13
